question,expected_keywords,model_response,latency,accuracy,model
Can I change my subscription frequency anytime?,[],Yes. You can adjust delivery dates and frequency in your account.,30.583,0.0,bizbot-llama1b-ft-rag
How does your loyalty program work?,[],"We value your feedback. Your loyalty program rewards you with exclusive benefits and discounts. To learn more, please visit our website or contact our customer support team.",55.832,0.0,bizbot-llama1b-ft-rag
Do you offer same-day delivery?,"['same-day', 'London', '10am']",Yes. Same-day delivery is available in Greater London Zones 1–3 if ordered by 10am.,0.003,1.0,bizbot-llama1b-ft-rag
How do I return a subscription box?,"['subscription', 'return', '14 days']",Unopened subscription boxes can be returned within 14 days for a refund. Cancel anytime via your BrewBeans account.,0.001,1.0,bizbot-llama1b-ft-rag
What’s your most popular blend right now?,[],Our top-selling coffee blend is the Java Jolt. It contains a balanced mix of Arabica and Robusta beans.,48.078,0.0,bizbot-llama1b-ft-rag
Can I change my subscription frequency anytime?,[],Yes. You can adjust delivery dates and frequency in your account.,30.493,0.0,bizbot-llama1b-ft-rag
Are there any barista tips for making the perfect oat latte?,[],"Yes! To make the perfect oat latte, use 1/2 cup of unsweetened almond milk, 1/2 cup of vanilla extract, and 1/2 cup of oat milk. Adjust to taste.",65.462,0.0,bizbot-llama1b-ft-rag
What allergens are in the Almond Mocha Ground?,"['almond', 'nuts', 'allergen']",It contains almond extract and is labeled with nuts as an allergen.,0.004,1.0,bizbot-llama1b-ft-rag
Is the Vanilla Oat Milk Latte vegan?,"['Vanilla Oat Milk Latte', 'vegan', 'oat milk']","Yes. It contains Arabica, oat milk, and vanilla extract. Suitable for vegans.",0.003,0.67,bizbot-llama1b-ft-rag
Can I change my subscription frequency anytime?,[],Yes. You can adjust delivery dates and frequency in your account.,30.53,0.0,bizbot-llama1b-ft-rag
Do you offer same-day delivery?,"['same-day', 'London', '10am']",Yes. Same-day delivery is available in Greater London Zones 1–3 if ordered by 10am.,0.013,1.0,bizbot-llama1b-ft-rag
Do you deliver outside the UK?,"['international', 'countries', 'customs']","Yes. We deliver to Ireland, France, Germany, Netherlands, Italy, USA, Canada, and Australia. Customs may apply.",0.006,0.33,bizbot-llama1b-ft-rag
How does your loyalty program work?,[],"We value your feedback. Your loyalty program rewards you with exclusive benefits and discounts. To learn more, please visit our website or contact our customer support team.",55.921,0.0,bizbot-llama1b-ft-rag
Can I track my order?,"['tracking', 'email', 'SMS']","Yes. You'll receive tracking links by email and SMS for dispatch, in-transit, and delivery updates.",0.001,1.0,bizbot-llama1b-ft-rag
What’s your most popular blend right now?,[],Our top-selling coffee blend is the Java Jolt. It contains a balanced mix of Arabica and Robusta beans.,47.446,0.0,bizbot-llama1b-ft-rag
Do you deliver outside the UK?,"['international', 'countries', 'customs']","Yes. We deliver to Ireland, France, Germany, Netherlands, Italy, USA, Canada, and Australia. Customs may apply.",0.002,0.33,bizbot-llama1b-ft-rag
What’s your most popular blend right now?,[],Our top-selling coffee blend is the Java Jolt. It contains a balanced mix of Arabica and Robusta beans.,47.799,0.0,bizbot-llama1b-ft-rag
Are there any barista tips for making the perfect oat latte?,[],"Yes! To make the perfect oat latte, use 1/2 cup of unsweetened almond milk, 1/2 cup of vanilla extract, and 1/2 cup of oat milk. Adjust to taste.",65.353,0.0,bizbot-llama1b-ft-rag
Is the Vanilla Oat Milk Latte vegan?,"['Vanilla Oat Milk Latte', 'vegan', 'oat milk']","Yes. It contains Arabica, oat milk, and vanilla extract. Suitable for vegans.",0.025,0.67,bizbot-llama1b-ft-rag
Is the Vanilla Oat Milk Latte vegan?,"['Vanilla Oat Milk Latte', 'vegan', 'oat milk']","Yes. It contains Arabica, oat milk, and vanilla extract. Suitable for vegans.",0.002,0.67,bizbot-llama1b-ft-rag
Do you offer same-day delivery?,"['same-day', 'London', '10am']",Yes. Same-day delivery is available in Greater London Zones 1–3 if ordered by 10am.,0.001,1.0,bizbot-llama1b-ft-rag
Are there any barista tips for making the perfect oat latte?,[],"Yes! To make the perfect oat latte, use 1/2 cup of unsweetened almond milk, 1/2 cup of vanilla extract, and 1/2 cup of oat milk. Adjust to taste.",65.194,0.0,bizbot-llama1b-ft-rag
Do you offer same-day delivery?,"['same-day', 'London', '10am']",Yes. Same-day delivery is available in Greater London Zones 1–3 if ordered by 10am.,0.001,1.0,bizbot-llama1b-ft-rag
Is the Vanilla Oat Milk Latte vegan?,"['Vanilla Oat Milk Latte', 'vegan', 'oat milk']","Yes. It contains Arabica, oat milk, and vanilla extract. Suitable for vegans.",0.002,0.67,bizbot-llama1b-ft-rag
Can I change my subscription frequency anytime?,[],Yes. You can adjust delivery dates and frequency in your account.,30.227,0.0,bizbot-llama1b-ft-rag
Can I change my subscription frequency anytime?,[],Yes. You can adjust delivery dates and frequency in your account.,30.146,0.0,bizbot-llama1b-ft-rag
Are there any barista tips for making the perfect oat latte?,[],"Yes! To make the perfect oat latte, use 1/2 cup of unsweetened almond milk, 1/2 cup of vanilla extract, and 1/2 cup of oat milk. Adjust to taste.",65.128,0.0,bizbot-llama1b-ft-rag
Is the Vanilla Oat Milk Latte vegan?,"['Vanilla Oat Milk Latte', 'vegan', 'oat milk']","Yes. It contains Arabica, oat milk, and vanilla extract. Suitable for vegans.",0.023,0.67,bizbot-llama1b-ft-rag
What allergens are in the Almond Mocha Ground?,"['almond', 'nuts', 'allergen']",It contains almond extract and is labeled with nuts as an allergen.,0.014,1.0,bizbot-llama1b-ft-rag
Do you deliver outside the UK?,"['international', 'countries', 'customs']","Yes. We deliver to Ireland, France, Germany, Netherlands, Italy, USA, Canada, and Australia. Customs may apply.",0.025,0.33,bizbot-llama1b-ft-rag
Do you offer same-day delivery?,"['same-day', 'London', '10am']",Yes. Same-day delivery is available in Greater London Zones 1–3 if ordered by 10am.,0.023,1.0,bizbot-llama1b-ft-rag
